,X,name,PC1,PC2,PC3
1,2015_01_15_PC_Liberia.txt,Clinton,-1.171673531,-1.330311442,4.905876545
2,2015_02_24_PC_Women_Silicon_Valley.txt,Clinton,0.757384861,1.998972188,0.856884044
3,2015_03_10_PC_Women_Iran.txt,Clinton,-0.475462938,1.752243672,3.119728906
4,2015_04_14_PC_Kirkwood_Comm_Coll.txt,Clinton,2.369598367,2.051856852,-0.438865426
5,2015_04_20_PC_Keene_NH.txt,Clinton,2.03586383,2.741621414,0.258765272
6,2015_04_23_PC_World_Sum_Women.txt,Clinton,0.746040205,2.275908649,-1.114445083
7,2015_04_29_PC_Criminal_Justice.txt,Clinton,-1.195407828,-0.297198864,-0.233401165
8,2015_05_05__PC_Immigration_Nevada.txt,Clinton,2.082360383,1.472101586,0.30643165
9,2015_05_18_PC_Families_Iowa.txt,Clinton,2.214543633,1.544266778,0.182258978
10,2015_05_19_PC_Cedar_Falls_IA.txt,Clinton,0.096915135,0.363713839,2.226887054
11,2015_05_20_PC_Childcare_Chicago.txt,Clinton,1.576806546,1.319832182,0.136427514
12,2015_05_27_PC_Dem_Women_Council_SC.txt,Clinton,1.539083648,2.58972459,0.099881566
13,2015_06_04_PC_Voting_Rights.txt,Clinton,-0.576569758,2.185863924,0.364726505
14,2015_06_13_PC_Launch.txt,Clinton,1.132657287,-0.60807527,0.829041055
15,2015_06_15_PC_Childhood_Ed.txt,Clinton,2.130796208,3.289739718,0.773144259
16,2015_06_18_PC_Veterans.txt,Clinton,1.61851699,0.636413521,-0.309141281
17,2015_06_20_PC_Conf_Mayors.txt,Clinton,-0.283833431,0.159320196,0.472759321
18,2015_06_25_PC_Conf_Flag_Racism.txt,Clinton,0.512002227,1.860776292,0.037713675
19,2015_06_26_PC_Jeff_Jack_Dinner.txt,Clinton,0.813411841,-0.254341125,-0.033365339
20,2015_07_13_PC_Economic_Policy.txt,Clinton,-0.471486453,-1.217318656,1.007494257
21,2015_07_16_PC_Economy_lst_Townhall.txt,Clinton,1.375397342,0.098871241,1.146687757
22,2015_07_24_PC_Long_Term_Growth.txt,Clinton,-2.145106391,0.861411079,3.551303746
23,2015_07_31_PC_National_Urban_League.txt,Clinton,3.110031583,1.307970104,-0.139682546
24,2015_08_11_PC_College_Costs_NH.txt,Clinton,1.633218972,0.01677378,1.849355227
25,2015_08_18_PC_Race_Saving_Cities.txt,Clinton,1.366358027,1.450603666,-0.768034601
26,2015_08_28_PC_DNC.txt,Clinton,1.476597203,-0.145535935,-1.589136623
27,2015_09_01_PC_DNC.txt,Clinton,0.910260178,-0.50606451,-1.502836602
28,2015_09_09_PC_Iran_Nuclear.txt,Clinton,0.842220076,-1.537784604,-0.150832635
29,2015_09_10_PC_Women_Org_OH.txt,Clinton,2.650522171,1.192520492,-0.702097168
30,2015_09_16_PC_Women_Hillary.txt,Clinton,0.769586769,0.973955138,-1.862943638
31,2015_09_19_PC_NH_DNC.txt,Clinton,1.12373927,0.244915916,-0.994636501
32,2015_09_26_PC_Human_Rights_Campaign.txt,Clinton,1.549023331,2.078580932,-0.330301393
33,2015_10_13_PC_Closing_State_CNN_Debate.txt,Clinton,0.778160664,0.374843385,1.942648549
34,2015_10_13_PC_Open_State_CNN_Debate.txt,Clinton,2.084417737,0.614821103,0.859943332
35,2015_10_16_PC_Keene_NH_Townhall.txt,Clinton,1.037597494,1.617360486,-1.875550434
36,2015_10_22_PC_Benghazi_Hearing.txt,Clinton,-1.03090307,0.754637152,-0.437423478
37,2015_10_31_PC_Longshoremen_SC.txt,Clinton,1.462364265,1.296171652,0.121758454
38,2015_11_09_PC_Am_Fed_Teachers.txt,Clinton,2.47188043,-1.739168945,0.890005904
39,2015_11_14_PC_Closing_State_Iowa_Debate.txt,Clinton,3.424348833,0.915614941,-2.055806879
40,2015_11_14_PC_Open_State_Iowa_Debate.txt,Clinton,2.379572756,-4.91578337,-2.810576968
41,2015_11_19_PC_CFR.txt,Clinton,-0.956113118,-2.327525818,-0.935760079
42,2015_11_22_PC_TownHall_Clinton_IA.txt,Clinton,0.479933023,2.692605354,1.196003635
43,2015_11_29_PC_Jeff_Jack_Dinner.txt,Clinton,0.547921212,-0.039296204,0.244345996
44,2015_12_01_PC_Mont_Bus_60.txt,Clinton,-0.014521199,2.245023741,-0.343125692
45,2015_12_04_PC_Carpenter_Traininig.txt,Clinton,-0.012914641,2.917067038,0.999886663
46,2015_12_04_PC_Econ_Women_NH.txt,Clinton,0.944599738,0.244773702,-0.276048585
47,2015_12_05_PC_ISIS_Brookings.txt,Clinton,-0.508850685,-2.296990556,-0.4513621
48,2015_12_14_PC_Immigration.txt,Clinton,1.10437295,0.667329928,-0.760654432
49,2015_12_15_PC_Homeland_Security.txt,Clinton,-0.324744115,-1.496167299,-0.323558645
50,2015_12_19_PC_Opening_State_Dem_Debate.txt,Clinton,-0.084954025,-3.054811274,0.178119682
51,2015_12_29_PC_Town_Hall_Portsmouth_NH.txt,Clinton,2.51490633,-0.447788616,1.210512541
52,2016_01_07_PC_Asian_Pac_Islander.txt,Clinton,1.425527969,1.52151555,0.289128814
53,2016_01_11_PC_Taxes_IA.txt,Clinton,0.83773447,0.989643302,0.530962746
55,2016_01_17_PC_Open_State_Dem_Debate_SC.txt,Clinton,1.01775007,0.00838303,1.646778438
56,2016_01_26_PC_Marshalltown_IA.txt,Clinton,1.879561992,0.785885782,-0.310373544
57,2016_02_01_PC_Cedar_Rapids_Caucus.txt,Clinton,1.847832369,0.976924449,-0.273939876
58,2016_02_01_PC_Iowa_Caucus_Victory.txt,Clinton,3.770534746,-1.246123764,1.243370831
59,2016_02_03_PC_Closing_Townhall_Derry_NH.txt,Clinton,6.226980634,-2.502040513,1.5697235
60,2016_02_04_PC_Closing_MSNBC_Debate_NH.txt,Clinton,2.169353019,-2.574030621,-2.700679353
61,2016_02_04_PC_Opening_MSNBC_Debate_NH.txt,Clinton,3.136119104,-1.681679441,-3.254103848
62,2016_02_07_PC_Water_Flint.txt,Clinton,1.3700836,1.75514355,-0.639541547
63,2016_02_09_PC_NH_Primary_Loss.txt,Clinton,1.968280265,-0.66692031,-0.570087658
64,2016_02_11_PC_Closing_PBS_Debate_Milwau.txt,Clinton,1.419689107,-3.632398155,-5.572700553
65,2016_02_11_PC_Opening_PBS_Debate_Milwaukee.txt,Clinton,1.908909798,-1.076638626,-1.716823895
66,2016_02_16_PC_Harlem_NY.txt,Clinton,0.137457925,-0.229960783,-0.712424796
67,2016_02_20_PC_Nevada_Victory.txt,Clinton,2.324566404,-2.180708418,-0.998140372
68,2016_02_23_PC_Closing_SC_Debate.txt,Clinton,2.444075958,-0.85002078,1.109658246
69,2016_02_27_PC_S_Carolina.txt,Clinton,0.672197704,-1.079907924,-0.885363428
70,2016_03_01_PC_Super_Tues.txt,Clinton,0.688972415,-1.053111626,-0.610187725
71,2016_03_04_PC_Manufact_Detroit.txt,Clinton,0.085687714,0.056600436,0.598620448
72,2016_03_05_PC_Michigan_Prim.txt,Clinton,0.491132851,-0.954808841,0.200666959
73,2016_03_06_PC_CNN_Debate_Close.txt,Clinton,5.021342889,-2.47621806,-0.911162188
74,2016_03_06_PC_CNN_Debate_Open.txt,Clinton,1.723844705,0.725987926,3.161612616
77,2016_03_10_PC_K-12_NC.txt,Clinton,1.811889119,0.411321994,0.701904112
78,2016_03_21_PC_AIPAC.txt,Clinton,0.144419567,-2.207296959,-1.143823746
79,2016_03_23_PC_Count_Terror_Stanford.txt,Clinton,-0.735236129,-1.302343275,-0.535271795
80,2016_03_28_PC_Sup_CT_WI.txt,Clinton,-0.189726647,0.148115806,1.141265447
81,2016_04_01_PC_Apollo_Theater.txt,Clinton,0.063394461,1.157731488,-0.135793669
82,2016_04_05_PC_Wisc_Primary.txt,Clinton,2.736058259,1.265636055,0.670616616
83,2016_04_08_PC_Teachers_NY.txt,Clinton,1.733017121,1.117369856,0.611872844
84,2016_04_09_PC_Brooklyn_Jobs_Barriers.txt,Clinton,2.386230296,1.767671762,-0.320557769
85,2016_04_11_PC_Gun_Violence_NY.txt,Clinton,0.290239348,0.427847902,-0.390283728
86,2016_04_11_PC_Suffolk_CO.txt,Clinton,2.807211398,0.296841013,0.300089914
87,2016_04_12_PC_Pay_Equity.txt,Clinton,0.737166414,3.036136073,-0.187763643
88,2016_04_13_PC_Environ.txt,Clinton,-1.16762346,-0.270458477,-0.073751658
89,2016_04_13_PC_Immigration_Off.txt,Clinton,0.890193362,-0.111483358,3.273977248
90,2016_04_14_PC_CNN_Debate_Close.txt,Clinton,4.022766432,-4.055153352,0.346233503
91,2016_04_14_PC_CNN_Debate_Open.txt,Clinton,4.067944028,-2.70906666,3.290331928
92,2016_04_18_PC_GOTV_NY.txt,Clinton,1.643431903,0.488373793,-0.075170219
93,2016_04_19_PC_New_York.txt,Clinton,1.17875286,0.154771382,-0.447045048
94,2016_04_23_PC_Incomes_RI.txt,Clinton,2.245448782,0.919522472,0.271698948
95,2016_04_23_PC_Work_Family_CT.txt,Clinton,2.115882497,1.17012201,-0.511992704
96,2016_04_26_PC_Manufacture_IN.txt,Clinton,0.640726156,1.102465124,-0.124045933
97,2016_04_26_PC_Unity_Phila.txt,Clinton,1.341125793,-1.209103427,-0.699961382
98,2016_05_01_PC_NAACP_Detroit.txt,Clinton,1.110027919,-0.075711764,-1.022878327
99,2016_05_03_PC_Jobs_OH.txt,Clinton,0.8963987,0.44055904,-0.18863241
100,2016_05_05_PC_Immigration_LA.txt,Clinton,3.118858474,0.581429571,1.170467969
101,2016_05_09_PC_Work_Family_VA.txt,Clinton,2.199603722,0.692357835,-1.584346218
102,2016_05_10_PC_Family_Health_KY.txt,Clinton,0.552467191,1.74757857,0.003712904
103,2016_05_21_PC_Circle_Mothers.txt,Clinton,0.220223695,1.683286002,-1.54804141
104,2016_05_23_PC_SEIU.txt,Clinton,0.732256501,0.244570018,-1.096300561
105,2016_05_26_PC_Infrastructure.txt,Clinton,2.210652149,0.620261186,-0.259143864
106,2016_06_03_PC_Natl_Sec.txt,Clinton,0.523780086,-1.255697645,-1.623049698
107,2016_06_07_PC_Prim_Victory.txt,Clinton,1.558445771,-0.203655294,0.135833713
108,2016_06_10_PC_Planned_Parenthood.txt,Clinton,0.227197238,0.90952781,-1.120330255
109,2016_06_13_PC_Orlando.txt,Clinton,0.560122665,-1.936769887,-1.258546411
110,2016_06_14_PC_Trump_Orlando.txt,Clinton,0.876237264,0.413514423,-1.63895509
111,2015_02_09_PC_Brookings_Econ_BS.txt,Sanders,-1.848439509,1.003560601,0.694273927
112,2015_03_09_PC_Natl_Press_Club_BS.txt,Sanders,-0.531875368,0.28008775,0.025159255
113,2015_04_30_PC_Announce_BS.txt,Sanders,0.156047167,0.157746731,-1.055101233
114,2015_05_05_PC_Budget2_Sen_BS.txt,Sanders,-2.071009645,0.620131309,0.554039847
115,2015_05_05_PC_Budget_Sen_BS.txt,Sanders,-3.379006008,0.497179811,-0.418789545
116,2015_05_12_PC_Trade_Sen_BS.txt,Sanders,-2.936106754,1.825516257,-0.00176559
117,2015_05_14_PC_Free_Trade_Sen_BS.txt,Sanders,-1.33242497,-0.604177787,1.001688165
118,2015_05_22_PC_TTP_College_Pat_Act_Sen_BS.txt,Sanders,-1.053280437,-0.960920646,0.35346782
119,2015_05_26_PC_Burling_VT_BS.txt,Sanders,-1.982359711,-1.04521288,0.048051066
120,2015_06_09_PC_Youth_Jobs_URMs_Sen_BS.txt,Sanders,-4.460073076,-0.807129281,-0.872311466
121,2015_06_11_PC_Family_Leave_Sen_BS.txt,Sanders,-2.508657837,2.448487986,-0.927934809
122,2015_06_15_PC_Senior_Hunger_Sen_BS.txt,Sanders,-2.687620752,1.793374441,1.005841365
123,2015_06_19_PC_NALEO_Imm_BS.txt,Sanders,-2.56529604,0.147283967,-1.178134726
124,2015_06_22_PC_Charleston_Sen_BS.txt,Sanders,-2.497790479,2.779759906,0.739364431
125,2015_06_23_PC_Trade_Sen_BS.txt,Sanders,-4.419494078,0.726514028,1.53186686
126,2015_07_08_PC_Wealth_Dis_Sen_BS.txt,Sanders,-4.270050981,0.629459365,-0.747833672
