,Academic_Language [Low Frequency],Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative, Group
Harris_02_05_19_Pre_State_of_Union_DC.txt,4.71,0.84,0.84,5.13,0.84,13.72,0.73,1.36,0.0,1.26,0.63,3.56,1.47,0.1,3.87,0.31,1.57,0.73,5.97,1.05,1.78,1.26,5.65,1.36,6.81,1.47,3.25,0.84,2020_Women_Speeches
Harris_02_14_19_Anti_Lynching_Bill_Sen.txt,5.29,0.85,0.48,2.56,0.85,13.24,0.16,4.27,0.0,2.51,1.39,2.24,0.75,0.0,4.48,0.32,4.22,2.03,4.54,0.75,3.04,0.48,1.55,0.59,6.19,0.43,1.87,2.19,2020_Women_Speeches
Harris_05_-5_19_NAACP_Detroit.txt,5.21,0.47,0.58,4.89,0.87,10.44,0.29,1.54,0.06,2.12,2.18,2.47,1.02,0.32,4.89,0.29,2.97,0.64,6.11,1.05,2.24,1.66,2.56,0.9,8.46,1.22,2.56,0.73,2020_Women_Speeches
Harris_06_10_19_Dem_Hall_Fame_IA.txt,4.69,0.74,0.25,5.06,0.74,10.36,0.37,1.11,0.0,1.23,3.33,2.1,0.37,0.12,5.43,0.25,2.84,1.36,7.52,1.23,2.1,1.97,2.34,1.6,6.91,1.23,0.49,0.37,2020_Women_Speeches
Harris_06_22_19_Otay_Mesa_Detention_Center_San_Diego.txt,4.78,0.16,0.56,4.15,1.28,11.16,0.48,1.12,0.0,1.28,1.99,2.95,0.88,0.4,4.94,0.48,4.39,0.48,4.39,0.88,1.75,1.2,3.19,0.96,8.05,1.12,1.44,1.04,2020_Women_Speeches
Harris_06_27_19_MSNBC_Debate_Closing.txt,3.06,0.0,0.0,1.53,0.51,9.69,1.02,1.02,0.0,2.55,4.08,4.59,1.02,0.0,5.61,0.0,3.57,0.0,2.55,1.02,0.51,1.02,1.53,0.51,3.57,0.51,3.06,0.0,2020_Women_Speeches
Harris_07_31_19_Debate_Closing_MI.txt,8.29,0.0,0.0,4.66,0.52,10.88,0.0,3.63,0.0,1.55,3.63,1.55,2.07,0.0,4.15,0.0,1.55,0.0,9.33,1.55,0.52,2.07,1.04,4.66,6.74,0.0,1.04,1.04,2020_Women_Speeches
Harris_07_31_19_Debate_Opening_MI.txt,2.94,1.26,0.0,2.52,0.42,7.56,0.84,0.42,0.0,0.84,3.78,2.1,0.84,1.26,4.62,0.0,4.62,1.26,4.2,0.42,1.26,1.26,3.36,2.94,4.2,0.84,2.52,0.0,2020_Women_Speeches
Harris_09_12_19_Closing_Dem_Debate_TX.txt,3.48,0.32,2.22,1.9,2.85,10.13,0.32,0.32,0.0,1.27,4.75,2.85,1.58,0.0,6.96,0.0,2.22,0.63,5.7,0.32,0.95,1.58,0.95,0.32,8.86,1.9,0.95,0.0,2020_Women_Speeches
Harris_09_12_19_Opening_Dem_Debate_TX.txt,2.73,0.39,0.0,3.52,1.17,8.59,0.78,1.56,0.0,1.95,1.56,1.56,0.39,0.39,5.86,0.78,1.56,0.78,1.56,0.39,3.13,1.95,5.08,1.56,8.2,0.78,1.17,1.95,2020_Women_Speeches
Klobuchar_01_08_19_Govt_Shutdown_Sen.txt,6.15,0.51,0.62,3.69,1.03,11.49,0.1,2.56,0.0,2.67,1.33,3.59,1.03,0.0,4.62,0.51,3.9,1.54,3.59,0.72,2.77,0.41,3.38,1.13,6.56,1.74,1.85,0.31,2020_Women_Speeches
Klobuchar_01_10_19_Govt_Shutdown2_Sen.txt,5.41,0.61,0.92,4.49,0.71,11.22,0.1,2.86,0.0,1.84,1.22,2.76,1.12,0.1,4.49,0.31,2.76,0.41,7.86,0.61,3.67,0.1,1.22,0.61,7.96,1.94,1.73,0.1,2020_Women_Speeches
Klobuchar_01_15_20_Iowa_Debate_Closing.txt,2.58,0.0,0.0,7.3,0.86,9.01,0.86,1.29,0.0,1.29,3.43,5.58,2.58,0.0,8.15,0.0,1.29,0.0,4.29,0.43,3.0,0.86,0.86,0.43,5.58,1.72,1.72,0.86,2020_Women_Speeches
Klobuchar_01_16_19_Govt_Shutdown3_Sen.txt,4.87,0.15,1.18,3.25,0.74,10.34,0.3,2.51,0.0,1.48,5.76,2.36,0.74,0.0,6.35,0.59,3.55,1.03,3.4,1.33,1.62,0.44,1.77,1.03,6.79,1.48,1.18,0.15,2020_Women_Speeches
Klobuchar_02_10_19_Announcement_MN.txt,4.76,0.31,0.41,6.88,0.86,11.36,0.44,0.99,0.03,1.85,2.09,2.5,0.51,0.21,6.81,0.27,2.84,0.51,5.88,0.86,1.54,1.09,3.11,1.2,7.08,1.33,2.16,0.34,2020_Women_Speeches
Klobuchar_02_12_20_New_Hampshire_Primary.txt,3.98,0.18,0.62,5.14,1.2,10.05,0.53,1.64,0.0,1.42,3.63,1.59,1.2,0.04,6.86,0.35,2.7,1.06,6.91,0.93,2.26,0.97,2.48,1.24,6.86,1.06,1.73,0.18,2020_Women_Speeches
Klobuchar_02_19_20_Las_Vegas_Debate_Closing.txt,3.65,0.46,0.91,7.76,0.46,10.5,0.0,0.46,0.0,2.74,5.02,3.65,0.46,0.0,7.31,0.91,0.91,1.83,5.48,1.37,1.37,0.91,2.28,0.91,8.22,0.0,1.37,0.0,2020_Women_Speeches
Klobuchar_02_27_19_Climate_Change_Senate.txt,5.43,0.6,0.5,4.73,0.6,13.48,0.1,1.01,0.0,1.01,1.11,2.41,0.7,0.1,3.42,0.7,3.52,1.81,4.12,1.71,5.53,0.3,1.81,0.2,7.14,1.01,1.31,0.1,2020_Women_Speeches
Klobuchar_03_26_19_Affordable_Care_Act_Senate.txt,6.91,0.47,1.18,3.93,0.47,12.25,0.0,1.02,0.0,2.44,1.89,2.12,1.1,0.24,4.4,0.39,2.59,2.59,3.38,1.02,3.85,0.31,1.96,0.79,8.56,1.41,3.14,0.39,2020_Women_Speeches
Klobuchar_03_27_19_Green_New_Deal_Senate.txt,6.76,0.18,1.35,5.65,0.98,11.33,0.25,0.8,0.0,2.27,2.06,2.83,1.23,0.31,3.65,0.46,3.07,1.35,2.67,0.86,1.87,0.43,2.49,0.74,8.48,1.69,1.66,0.12,2020_Women_Speeches
Klobuchar_03_28_19_Federal_Election_Laws_Senate.txt,5.31,0.64,1.15,4.39,0.75,11.84,0.23,0.58,0.0,2.08,1.85,3.64,0.64,0.81,3.93,0.81,1.73,1.5,3.75,1.1,3.18,0.35,3.12,0.64,7.45,1.67,1.44,0.58,2020_Women_Speeches
Klobuchar_04_02_19_Advice_Consent_Sen.txt,4.65,0.59,0.75,4.02,0.71,11.35,0.0,0.42,0.0,2.47,0.75,3.06,0.29,0.63,4.52,0.75,4.69,1.09,4.4,1.17,6.11,0.5,2.76,1.47,7.2,2.09,2.01,0.25,2020_Women_Speeches
Klobuchar_05_15_19_Prescription_Drugs2_Senate.txt,5.99,0.41,0.54,3.81,0.54,11.17,0.41,1.5,0.0,3.68,2.04,3.68,0.68,0.27,4.9,0.41,2.32,1.77,5.59,0.82,1.63,0.41,1.36,0.54,8.17,2.18,1.63,0.54,2020_Women_Speeches
Klobuchar_05_15_19_Prescription_Drugs_Senate.txt,6.19,0.19,0.75,4.22,1.03,11.25,0.28,1.22,0.0,2.81,1.59,3.47,0.47,0.19,3.66,0.66,3.66,1.87,5.81,1.22,3.09,0.19,1.69,0.37,6.65,0.56,1.22,0.56,2020_Women_Speeches
Klobuchar_06_04_19_19_Amendment_Senate.txt,2.36,0.56,1.01,5.61,0.79,10.89,0.56,0.56,0.0,2.81,1.8,2.47,0.56,0.0,4.38,0.56,2.13,2.13,8.19,0.67,3.82,0.45,2.13,1.12,6.73,1.35,1.57,0.22,2020_Women_Speeches
Klobuchar_06_09_19_Dem_Hall_of_Fame_IA.txt,4.57,0.43,0.54,5.43,1.52,10.43,0.33,0.76,0.0,2.39,3.26,1.85,0.22,0.65,5.33,0.43,2.83,0.98,5.0,0.76,2.17,1.52,1.85,0.43,7.83,0.76,2.28,0.11,2020_Women_Speeches
Klobuchar_06_25_19_Election_Security2_Sen.txt,5.48,0.43,0.86,2.8,1.18,11.72,0.43,0.32,0.0,1.61,1.83,4.19,1.29,0.65,3.55,0.43,2.47,1.72,1.94,1.61,3.23,0.75,3.44,0.97,9.57,2.15,3.01,0.22,2020_Women_Speeches
Klobuchar_06_25_19_Election_Security_Sen.txt,6.92,0.22,1.12,3.63,0.67,11.27,0.06,0.89,0.06,1.84,1.51,2.85,0.89,0.56,3.68,0.28,2.68,1.62,2.29,1.0,4.52,0.17,3.29,1.45,9.26,2.18,3.01,0.67,2020_Women_Speeches
Klobuchar_06_26_19_Debate_Closing_FL.txt,3.47,0.0,1.49,3.96,1.98,12.87,0.0,0.5,0.0,5.45,7.92,0.99,1.49,0.5,6.93,0.5,0.5,0.0,3.96,0.5,1.98,1.98,0.5,0.5,8.42,0.99,4.46,0.0,2020_Women_Speeches
Klobuchar_07_10_19_Affordable_Care_Act_Sen.txt,6.62,0.99,1.66,2.32,0.66,12.58,0.33,2.98,0.0,3.64,1.66,3.64,1.32,0.33,2.32,0.0,2.65,2.32,4.97,0.99,1.66,0.0,0.99,1.99,8.28,1.66,2.65,0.33,2020_Women_Speeches
Klobuchar_07_30_19_Debate_Closing_MI.txt,1.94,0.0,1.16,6.2,1.16,10.85,0.39,0.39,0.0,1.16,5.43,1.16,1.55,0.0,5.81,0.39,1.94,1.16,9.69,0.0,1.16,1.16,0.78,0.0,8.53,1.55,3.88,0.0,2020_Women_Speeches
Klobuchar_07_30_19_Debate_Opening_MI.txt,3.23,0.0,0.46,3.69,0.0,14.29,0.0,0.46,0.0,2.3,5.53,2.3,1.38,0.0,6.45,1.38,2.3,0.0,6.91,1.38,2.3,1.38,1.84,0.92,5.53,0.0,2.3,0.46,2020_Women_Speeches
Klobuchar_08_01_19_Election_Security_Sen.txt,6.29,0.19,0.87,4.62,1.21,11.3,0.15,0.68,0.0,2.24,1.74,3.3,0.87,0.68,4.93,0.64,2.43,1.63,2.54,1.29,3.71,0.72,2.2,1.02,8.49,1.63,1.74,0.19,2020_Women_Speeches
Klobuchar_09_09_19_First_Day_Congress_Action_Senate.txt,6.15,0.33,0.81,5.31,1.02,11.52,0.43,1.26,0.0,2.54,2.1,2.67,0.43,0.31,4.72,0.43,3.79,1.51,5.09,0.83,2.08,1.18,1.32,0.92,7.04,1.69,1.53,0.71,2020_Women_Speeches
Klobuchar_09_12_19_Closing_Debate_TX.txt,3.5,0.0,0.7,3.96,0.7,9.56,0.23,1.17,0.0,2.1,4.2,1.63,1.17,0.47,2.8,0.23,3.03,1.4,5.36,1.4,1.63,2.1,2.56,0.93,6.76,1.4,2.56,0.0,2020_Women_Speeches
Klobuchar_09_17_19_Gun_Control_Sen.txt,2.89,0.0,0.58,6.94,0.29,13.58,0.0,2.89,0.0,1.16,0.87,2.6,0.58,0.0,1.73,0.29,4.05,0.0,5.78,0.58,3.76,0.29,2.6,1.16,10.12,2.89,3.18,1.45,2020_Women_Speeches
Klobuchar_10_22_19_Honest_Ads_Act_Senate.txt,6.38,0.46,0.74,5.36,1.3,11.08,0.21,0.67,0.0,1.61,1.33,3.26,0.77,0.67,4.73,0.6,3.01,1.3,2.91,1.47,3.72,0.53,2.0,1.12,8.62,1.86,1.58,0.81,2020_Women_Speeches
Klobuchar_10_23_19_Election_Interference_Senate.txt,4.25,1.51,1.1,5.34,0.96,11.64,0.27,0.82,0.0,2.47,2.05,3.15,0.68,1.1,3.97,0.82,2.6,1.51,1.92,1.23,2.47,1.1,2.47,1.51,9.86,1.51,1.64,1.23,2020_Women_Speeches
Klobuchar_11_12_19_EPA_Farm_Sen.txt,11.58,0.96,0.96,8.04,0.96,13.5,0.0,2.25,0.0,3.54,1.29,0.96,0.96,0.64,2.57,0.0,4.5,0.64,1.61,0.64,3.86,0.0,1.93,1.61,7.4,0.64,1.61,0.32,2020_Women_Speeches
Klobuchar_11_21_19_Atlanta_Debate_Closing.txt,3.37,0.56,0.28,2.25,2.25,13.2,1.4,0.56,0.0,1.12,1.12,2.53,0.28,0.56,5.06,0.56,2.25,1.97,7.3,0.56,1.97,0.0,5.62,0.56,8.99,1.12,2.53,0.0,2020_Women_Speeches
Klobuchar_12_11_19_CFR_Foreign_Policy.txt,5.79,0.37,0.65,4.27,0.83,12.45,0.55,1.26,0.02,1.8,1.73,2.91,0.86,0.33,3.92,0.55,2.48,1.05,3.57,1.05,2.26,0.96,4.52,1.48,8.63,1.55,2.26,0.48,2020_Women_Speeches
Klobuchar_12_19_18_Healthcare_Sen.txt,7.31,0.46,1.6,3.54,0.8,10.97,0.23,1.6,0.0,2.97,1.83,1.83,0.57,0.23,3.2,0.69,3.09,0.57,3.54,0.69,2.63,0.46,1.6,0.8,9.71,2.63,3.2,0.34,2020_Women_Speeches
Klobuchur_09_12_19_Debate_Opening_TX.txt,2.1,0.0,0.42,6.72,1.26,9.66,0.0,1.26,0.0,0.84,6.3,1.26,0.84,0.0,8.4,1.26,0.84,0.0,2.94,1.26,1.26,1.68,3.36,0.84,7.98,1.26,1.26,0.84,2020_Women_Speeches
Warren_01_15_20_Iowa_Debate_Closing.txt,2.76,0.92,0.46,5.07,1.38,11.52,0.0,2.3,0.0,0.92,2.3,2.76,1.38,0.46,5.07,0.46,6.45,0.0,6.45,1.84,0.46,1.38,4.15,0.92,9.68,1.38,1.84,1.38,2020_Women_Speeches
Warren_01_16_19_Govt_Shutdown_Abortion_Senate.txt,7.04,0.0,1.01,4.58,1.68,11.73,0.67,2.46,0.0,2.23,0.56,2.91,0.89,0.11,3.58,0.67,3.13,0.89,7.26,0.22,4.36,0.45,1.68,0.89,8.83,1.12,1.68,0.45,2020_Women_Speeches
Warren_02_05_20_Impeachment_Sen.txt,4.41,1.09,0.76,3.76,1.0,13.37,0.33,1.58,0.02,1.68,0.8,2.73,1.15,0.44,3.03,0.67,2.4,1.31,4.41,1.44,5.94,0.5,1.44,1.7,5.91,1.81,1.89,2.15,2020_Women_Speeches
Warren_02_09_19_Announcement_Lawrence_MA.txt,5.8,0.51,0.87,5.57,1.31,10.34,1.1,1.47,0.0,2.19,1.84,3.02,0.6,0.12,6.79,0.28,3.18,1.22,4.95,1.04,1.75,1.15,2.03,1.91,6.4,1.38,1.66,0.58,2020_Women_Speeches
Warren_02_12_19_Barr_Nomination_Natural_Resources_Senate.txt,4.79,1.35,0.37,3.32,1.23,12.65,0.61,1.23,0.0,1.6,0.25,2.83,1.11,1.23,4.05,0.37,2.09,0.49,8.6,1.6,4.55,0.37,1.35,0.86,6.14,1.97,3.07,1.72,2020_Women_Speeches
Warren_02_12_20_New_Hampshire_Primary.txt,4.57,0.17,2.08,5.62,0.87,10.25,0.87,1.56,0.06,1.97,2.72,2.26,1.27,0.17,6.02,0.58,2.43,0.58,4.98,1.04,1.85,0.58,3.88,1.27,7.82,1.8,1.22,1.16,2020_Women_Speeches
Warren_02_20_20_Las_Vegas_Debate_Closing.txt,4.62,0.0,0.84,2.52,0.42,10.08,0.84,0.84,0.0,0.0,8.4,1.26,1.26,1.26,7.14,0.42,6.3,1.68,1.68,0.84,0.42,0.42,1.68,3.78,5.88,1.26,1.68,0.42,2020_Women_Speeches
Warren_03_05_20_Concession_Press_Conf.txt,1.57,0.0,0.79,2.36,0.0,10.24,0.0,0.79,0.0,0.0,6.3,3.94,2.36,0.0,3.94,0.79,3.94,0.79,6.3,2.36,2.36,1.57,0.79,2.36,7.87,2.36,0.79,0.0,2020_Women_Speeches
Warren_03_12_19_Judge_Rao_Nomination_Senate.txt,7.24,0.95,0.6,4.48,0.34,12.24,1.38,1.55,0.0,1.47,0.86,2.41,0.69,0.43,2.59,0.34,2.59,0.69,8.45,0.86,5.26,0.26,1.47,1.72,5.6,1.55,2.33,0.86,2020_Women_Speeches
Warren_04_05_19_National_Action_Network_Conv_NY.txt,5.27,0.32,0.98,4.79,0.98,9.49,0.76,1.14,0.03,2.52,3.25,2.78,0.76,0.35,5.64,0.54,3.25,1.07,5.52,1.51,1.58,1.1,1.45,1.39,7.6,1.39,1.99,0.47,2020_Women_Speeches
Warren_06_26_19_MSNBC_Debate_Closing.txt,6.0,0.0,1.0,6.0,2.0,7.0,0.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,8.0,0.0,4.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0,2020_Women_Speeches
Warren_07_30_19_Debate_Closing_MI.txt,3.97,0.66,0.0,5.3,1.66,9.93,0.66,0.33,0.0,1.99,3.97,0.99,0.33,0.33,4.64,0.66,4.97,1.99,5.63,0.66,1.66,0.66,2.98,0.0,4.97,0.99,1.32,0.0,2020_Women_Speeches
Warren_07_30_19_Debate_Opening_MI.txt,7.93,0.0,0.61,3.66,1.22,10.98,0.61,1.83,0.0,3.05,3.05,1.83,2.44,0.0,5.49,0.0,1.22,0.61,4.88,0.0,3.05,0.61,4.27,2.44,7.32,0.61,2.44,2.44,2020_Women_Speeches
Warren_09_12_19_Closing_Dem_Debate_TX.txt,4.4,0.29,0.29,4.99,0.29,6.45,0.29,0.29,0.0,2.35,9.68,0.88,0.59,0.0,5.87,0.29,5.87,0.88,2.35,1.17,2.05,2.93,0.0,1.47,5.57,2.64,1.17,0.0,2020_Women_Speeches
Warren_09_12_19_Opening_Dem_Debate_TX.txt,7.77,0.0,0.49,5.83,0.49,12.14,0.49,0.97,0.0,2.91,7.28,2.43,1.46,0.0,4.85,0.49,2.43,0.49,3.4,0.97,0.97,1.94,0.49,0.97,6.8,0.49,0.49,0.0,2020_Women_Speeches
Warren_11_21_19_Atlanta_Democratic_Debate_Closing.txt,5.72,0.27,1.63,6.27,1.36,10.63,0.27,0.82,0.0,1.91,2.45,2.18,0.54,0.0,5.72,0.27,1.63,0.0,2.72,0.0,3.54,0.82,2.72,1.91,10.35,1.91,0.27,0.82,2020_Women_Speeches
Warren_11_29_18_F_Policy_American.txt,6.65,0.16,0.8,4.94,0.84,12.05,0.51,2.04,0.0,2.46,0.51,3.12,0.95,0.18,4.48,0.42,2.42,0.44,3.68,1.02,2.97,0.6,2.5,1.48,8.04,1.93,3.7,1.35,2020_Women_Speeches
~$llibrand_03_24_19_Brave_Wins_NYC.txt,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_Women_Speeches
2006_06_13_PC_Domestic_Take_Back.txt,5.02,0.59,0.93,3.01,0.93,10.88,0.53,1.45,0.0,1.69,1.81,3.61,0.7,0.15,3.37,0.21,2.11,1.29,4.05,1.62,2.78,1.81,3.04,1.52,6.79,1.64,2.85,0.46,Clinton_08_16_Primary_Speeches
2006_06_23_PC_Domestic_New_Dem.txt,5.23,0.46,0.74,3.57,0.98,12.02,0.46,1.05,0.0,1.51,2.15,3.54,0.83,0.34,3.6,0.62,2.18,1.01,3.69,1.17,3.32,1.14,3.14,1.26,6.52,1.97,2.61,0.34,Clinton_08_16_Primary_Speeches
2007_01_10_PC_Foreign_Iraq.txt,5.07,0.72,0.0,5.07,1.09,14.13,0.36,1.81,0.0,1.45,1.45,2.9,1.81,0.36,2.54,0.0,2.17,0.36,5.43,0.72,5.8,0.36,2.17,1.45,8.7,2.54,2.17,1.45,Clinton_08_16_Primary_Speeches
2007_01_20_PC_Domestic_Announcement.txt,7.26,0.0,1.68,3.07,0.56,8.94,0.56,0.84,0.0,2.51,3.35,2.79,0.56,1.12,9.78,0.28,2.23,0.56,1.4,0.56,1.12,2.23,1.96,0.28,6.42,0.84,3.07,0.28,Clinton_08_16_Primary_Speeches
2007_01_22_PC_Stump_Conversation.txt,4.5,0.0,1.8,4.5,1.8,5.71,0.6,0.0,0.0,3.9,3.0,4.2,2.7,0.3,11.71,0.3,2.7,0.3,1.8,1.8,0.0,2.4,3.0,1.2,6.91,1.2,0.3,0.0,Clinton_08_16_Primary_Speeches
2007_01_23_PC_Stump_Conversation.txt,2.19,0.55,0.55,4.92,0.0,6.56,1.64,0.0,0.0,1.64,4.92,2.73,2.19,0.55,9.84,0.0,2.73,1.64,3.83,0.55,0.55,4.37,3.83,0.55,6.56,0.55,0.0,0.0,Clinton_08_16_Primary_Speeches
2007_01_24_PC_Stump_Conversation.txt,2.78,0.0,0.51,4.29,0.51,12.12,1.01,0.51,0.0,2.02,5.56,1.52,2.53,0.25,8.08,0.51,3.03,1.52,1.77,1.52,0.51,1.52,3.28,2.02,5.81,1.26,1.52,0.0,Clinton_08_16_Primary_Speeches
2007_02_02_PC_Stump_DNC.txt,4.4,0.3,1.73,3.59,0.59,10.57,0.76,1.01,0.0,1.94,3.76,3.3,1.35,0.25,5.87,0.55,2.2,0.63,3.25,0.59,1.9,0.85,4.14,0.76,7.57,1.35,2.03,0.3,Clinton_08_16_Primary_Speeches
2007_02_07_PC_Foreign_Iraq.txt,4.38,0.46,0.65,4.56,0.83,13.35,0.52,1.2,0.0,1.45,1.6,2.62,0.99,0.15,2.59,0.4,2.53,1.17,4.22,1.26,4.41,0.37,2.99,2.19,7.64,2.0,2.62,0.74,Clinton_08_16_Primary_Speeches
2007_02_14_PC_Foreign_Iran.txt,4.39,0.66,1.11,3.38,0.81,14.01,0.5,2.12,0.0,1.81,1.41,3.07,1.01,0.1,3.23,0.45,2.22,0.96,2.37,1.01,4.59,0.71,4.18,1.81,8.22,2.32,2.72,0.81,Clinton_08_16_Primary_Speeches
2007_03_04_PC_Domestic_Civil Rights.txt,4.65,0.39,0.79,4.78,0.79,11.54,0.79,1.27,0.0,1.89,2.5,2.06,0.39,0.18,3.73,0.44,3.6,1.49,6.54,0.79,1.84,1.1,3.42,0.79,6.93,0.61,1.71,0.44,Clinton_08_16_Primary_Speeches
2007_03_06_PC_Women_Rights_History.txt,5.88,0.0,1.43,4.73,0.72,11.48,0.43,1.15,0.0,2.3,1.15,4.45,0.43,0.43,4.59,0.14,3.59,0.57,6.03,1.0,2.15,1.43,1.87,1.15,10.47,1.72,2.3,0.72,Clinton_08_16_Primary_Speeches
2007_03_10_PC_Domestic_General.txt,10.57,0.0,0.29,4.86,0.86,10.29,0.29,1.14,0.0,3.71,0.29,0.86,0.57,0.29,9.71,0.0,2.86,0.29,8.0,0.57,2.29,0.57,1.14,0.86,5.43,1.43,1.43,0.86,Clinton_08_16_Primary_Speeches
2007_03_14_PC_Domestic_Fire Fighters_Union.txt,4.31,0.26,0.99,4.54,0.99,9.22,0.57,1.12,0.0,2.01,2.64,2.82,0.78,0.16,6.66,0.63,2.85,1.23,4.75,1.49,1.28,1.49,3.26,0.99,6.45,1.31,1.93,0.24,Clinton_08_16_Primary_Speeches
2007_03_15_PC_Domestic_Lending.txt,7.71,0.31,1.05,4.03,0.74,11.49,0.56,1.38,0.03,1.99,1.71,3.39,1.02,0.31,3.83,0.41,2.94,1.15,4.03,1.2,1.61,1.68,2.37,0.97,7.38,1.33,1.79,0.64,Clinton_08_16_Primary_Speeches
2007_04_13_PC_Domestic_Govt Reform.txt,6.32,0.5,1.21,4.48,0.92,11.64,0.46,0.94,0.02,2.1,1.56,2.92,0.87,0.24,3.95,0.26,2.48,1.08,4.43,1.08,4.22,1.06,2.61,0.96,7.01,1.73,3.01,0.51,Clinton_08_16_Primary_Speeches
2007_05_19_PC_Domestic_Katrina.txt,4.2,0.37,0.55,5.25,0.95,10.52,0.77,1.2,0.03,2.09,1.44,2.79,0.64,0.37,7.33,0.31,2.76,1.14,3.22,1.26,2.73,1.32,2.27,0.61,8.01,1.29,2.33,0.34,Clinton_08_16_Primary_Speeches
2007_05_21_PC_Domestic_Pre-K.txt,5.06,0.28,1.41,3.73,0.82,11.76,0.64,0.64,0.05,2.43,2.51,3.81,0.82,0.69,3.37,0.51,2.71,0.97,5.65,1.56,1.79,1.3,2.3,0.54,6.88,1.69,2.35,0.28,Clinton_08_16_Primary_Speeches
2007_05_24_PC_Health_Costs.txt,8.93,0.48,0.91,4.16,0.77,11.96,0.29,1.1,0.05,4.46,1.48,2.68,1.02,0.4,3.32,0.37,2.36,0.85,3.89,0.92,2.39,0.54,2.69,0.64,7.85,1.64,3.11,1.42,Clinton_08_16_Primary_Speeches
2007_05_29_PC_Domestic_Economy.txt,8.52,0.32,1.12,4.05,1.01,11.26,0.37,0.96,0.03,2.37,1.54,3.42,0.86,0.27,4.35,0.3,2.8,0.85,3.45,0.96,2.59,1.02,2.7,0.66,7.88,1.76,2.86,0.58,Clinton_08_16_Primary_Speeches
2007_05_31_PC_Domestic_Innovation.txt,7.74,0.39,1.1,4.36,0.71,12.92,0.63,0.89,0.02,2.43,2.04,3.47,0.89,0.43,3.62,0.67,2.73,0.82,2.28,1.0,2.65,0.87,2.02,0.63,7.41,1.82,3.4,0.22,Clinton_08_16_Primary_Speeches
2007_06_27_PC_Foreign_Security.txt,5.27,0.55,0.61,4.45,0.68,13.36,0.3,2.52,0.0,2.31,1.61,3.28,0.55,0.25,3.37,0.53,2.39,0.85,3.03,1.06,2.77,0.93,2.92,1.5,8.64,1.95,2.86,0.93,Clinton_08_16_Primary_Speeches
2007_07_10_PC_Foreign_Iraq.txt,5.61,0.37,0.88,4.52,0.91,12.44,0.31,1.9,0.0,2.51,1.96,2.27,1.39,0.15,3.44,0.35,3.15,0.66,4.19,0.71,2.67,0.66,3.0,1.37,8.34,1.96,3.0,0.88,Clinton_08_16_Primary_Speeches
2007_07_24_PC_Domestic_Green Energy.txt,7.88,0.25,1.24,7.77,0.59,11.63,0.25,0.71,0.04,2.75,2.14,3.14,0.92,0.23,3.56,0.36,2.28,1.11,2.12,1.36,1.78,1.42,2.35,0.73,7.82,1.76,1.7,0.23,Clinton_08_16_Primary_Speeches
2007_07_27_PC_Domestic_Race.txt,5.46,0.64,0.78,3.5,0.9,10.42,0.53,0.78,0.03,3.11,3.19,2.74,1.23,0.48,4.4,0.39,2.8,0.56,5.77,1.15,1.74,1.4,2.24,0.67,6.83,1.23,2.77,0.39,Clinton_08_16_Primary_Speeches
2007_08_07_PC_Domestic_Housing.txt,7.32,0.39,0.96,3.69,0.9,9.82,0.67,1.49,0.0,2.09,1.77,3.47,0.67,0.34,4.2,0.37,2.43,1.15,4.62,1.59,1.35,1.79,1.86,0.82,7.64,1.54,1.58,0.53,Clinton_08_16_Primary_Speeches
2007_08_08_PC_Domestic_Infrastructure.txt,6.79,0.36,1.13,6.5,0.95,11.46,0.34,1.48,0.0,2.37,1.88,3.27,0.8,0.19,3.68,0.44,2.75,0.92,2.71,1.14,2.05,1.26,3.36,0.7,7.84,1.57,1.74,0.56,Clinton_08_16_Primary_Speeches
2007_08_15_PC_Health_Long-Term Care.txt,6.15,0.18,0.87,3.87,1.0,11.07,0.55,1.07,0.02,1.98,2.37,3.35,1.53,0.36,3.85,0.27,2.69,0.91,5.08,1.09,1.87,1.39,2.62,1.23,7.56,1.8,1.64,0.2,Clinton_08_16_Primary_Speeches
2007_08_20_PC_Domestic_Veterans.txt,4.61,0.45,0.81,4.72,0.87,11.0,0.45,1.17,0.0,1.95,3.1,2.51,1.06,0.2,3.61,0.48,2.48,1.14,6.2,1.18,1.89,1.03,3.32,1.26,6.95,1.56,2.59,0.39,Clinton_08_16_Primary_Speeches
2007_08_23_PC_Health_Reform.txt,8.81,0.42,1.02,4.64,1.03,12.29,0.46,1.23,0.0,2.34,1.76,3.02,0.8,0.32,3.99,0.36,2.37,0.47,5.08,1.17,2.02,1.11,2.72,0.59,7.33,1.3,3.2,0.82,Clinton_08_16_Primary_Speeches
