,Academic_Language [Low Frequency],Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative, Group
2016_02_01_PC_Iowa_Caucus_Victory.txt,4.03,0.0,1.3,2.84,0.36,10.43,0.59,0.36,0.0,1.18,6.04,3.79,1.07,0.36,5.45,0.36,1.54,0.24,3.91,0.83,2.01,0.71,3.67,1.18,7.11,1.9,3.2,0.12,Clinton_08_16_Primary_Speeches
2016_02_03_PC_Closing_Townhall_Derry_NH.txt,4.42,0.0,0.83,2.21,0.83,8.01,0.83,0.55,0.0,1.93,4.14,1.66,3.31,0.28,8.01,0.28,1.93,0.0,2.49,1.38,0.83,3.04,1.66,1.66,8.84,3.04,2.76,0.55,Clinton_08_16_Primary_Speeches
2016_02_04_PC_Closing_MSNBC_Debate_NH.txt,2.3,0.0,1.53,4.21,0.38,12.64,0.38,1.92,0.0,0.77,4.6,1.92,1.92,0.0,5.36,0.38,3.45,0.0,4.21,1.53,1.92,1.53,2.68,1.53,6.9,1.53,1.15,1.53,Clinton_08_16_Primary_Speeches
2016_02_04_PC_Opening_MSNBC_Debate_NH.txt,2.73,0.45,1.36,3.64,0.91,8.64,0.91,0.91,0.0,0.45,5.91,2.73,1.36,0.0,4.55,0.45,3.18,0.0,5.91,1.36,0.0,0.45,2.27,3.18,6.82,0.91,1.82,1.36,Clinton_08_16_Primary_Speeches
2016_02_07_PC_Water_Flint.txt,3.16,0.34,1.15,5.27,1.29,10.53,0.81,1.01,0.0,1.68,3.26,4.16,0.67,0.19,4.88,0.53,2.01,1.48,4.69,1.53,1.68,1.2,2.58,0.77,6.8,1.1,1.91,0.34,Clinton_08_16_Primary_Speeches
2016_02_09_PC_NH_Primary_Loss.txt,5.01,0.14,0.74,3.86,1.49,10.77,0.41,1.02,0.0,1.49,3.86,3.25,1.29,0.34,5.69,0.47,1.9,0.47,3.72,1.02,1.08,1.42,2.98,1.29,8.06,1.08,2.44,0.54,Clinton_08_16_Primary_Speeches
2016_02_11_PC_Closing_PBS_Debate_Milwau.txt,5.51,0.0,1.75,4.01,0.5,13.03,0.0,2.01,0.0,1.0,3.76,2.26,1.5,0.0,4.01,0.25,1.25,0.0,5.76,1.75,0.25,1.0,1.75,3.51,6.52,1.0,1.5,2.01,Clinton_08_16_Primary_Speeches
2016_02_11_PC_Opening_PBS_Debate_Milwaukee.txt,4.58,0.0,1.15,4.96,0.76,13.36,0.0,1.53,0.0,1.91,3.82,2.29,2.67,0.38,3.82,0.0,2.29,0.76,6.87,1.15,0.76,1.15,2.29,1.53,5.34,1.53,3.05,0.76,Clinton_08_16_Primary_Speeches
2016_02_16_PC_Harlem_NY.txt,4.17,0.22,0.89,5.62,0.91,11.13,0.58,1.49,0.0,1.92,2.46,3.59,0.67,0.24,4.66,0.44,2.22,0.81,5.14,1.27,2.26,1.17,2.74,1.03,7.84,1.85,2.52,0.91,Clinton_08_16_Primary_Speeches
2016_02_20_PC_Nevada_Victory.txt,4.75,0.19,1.3,5.37,1.42,10.73,0.25,1.17,0.0,1.23,1.3,3.27,1.85,0.0,6.97,0.25,1.6,0.19,3.89,0.93,1.11,1.3,4.57,0.8,7.34,1.42,2.59,0.43,Clinton_08_16_Primary_Speeches
2016_02_23_PC_Closing_SC_Debate.txt,4.65,0.29,0.0,2.91,0.0,10.76,0.29,0.29,0.0,2.91,4.65,3.2,1.74,0.0,6.69,0.29,1.74,0.29,4.36,1.45,1.45,1.16,1.74,1.45,8.72,1.74,2.62,0.0,Clinton_08_16_Primary_Speeches
2016_02_27_PC_S_Carolina.txt,4.77,0.31,1.25,5.14,1.14,11.36,0.62,1.5,0.0,2.13,1.82,3.22,1.5,0.1,4.88,0.31,2.7,0.52,5.29,1.04,1.3,0.99,3.63,1.56,7.78,1.04,2.28,0.26,Clinton_08_16_Primary_Speeches
2016_03_01_PC_Super_Tues.txt,5.26,0.14,1.21,4.55,0.92,11.43,0.36,1.7,0.0,1.92,1.85,2.7,1.42,0.36,6.04,0.43,3.05,0.71,4.83,0.99,1.14,0.43,4.05,1.56,9.02,1.21,2.63,0.28,Clinton_08_16_Primary_Speeches
2016_03_04_PC_Manufact_Detroit.txt,6.91,0.37,0.85,5.51,0.98,10.62,0.57,1.36,0.04,1.65,1.77,3.32,0.85,0.28,4.82,0.53,2.16,0.61,3.82,0.89,2.18,1.53,2.22,1.24,8.66,1.63,2.42,0.35,Clinton_08_16_Primary_Speeches
2016_03_05_PC_Michigan_Prim.txt,5.09,0.15,0.99,5.2,1.35,10.76,0.62,1.02,0.0,1.46,2.12,3.04,1.35,0.29,4.65,0.48,2.63,0.55,4.13,0.99,2.09,1.06,2.78,1.57,9.88,1.28,2.38,0.33,Clinton_08_16_Primary_Speeches
2016_03_06_PC_CNN_Debate_Close.txt,4.55,0.0,1.65,4.96,2.07,13.22,0.83,0.41,0.0,0.41,6.2,2.07,2.07,0.0,4.13,0.83,1.65,0.0,3.31,1.24,0.83,2.48,1.24,2.89,5.79,2.48,2.89,0.41,Clinton_08_16_Primary_Speeches
2016_03_06_PC_CNN_Debate_Open.txt,2.6,0.0,0.43,6.93,0.87,9.96,0.43,0.43,0.0,1.73,3.9,4.76,1.73,1.3,4.76,0.43,2.16,0.43,1.73,0.43,3.9,1.3,0.87,0.87,9.09,1.3,2.6,0.0,Clinton_08_16_Primary_Speeches
2016_03_09_PC_Univision_Debate_Close.txt,3.37,0.0,0.48,2.88,0.0,9.62,0.48,0.96,0.0,1.92,3.37,3.37,3.85,0.0,5.77,0.0,0.48,0.0,2.4,0.0,2.4,0.96,4.33,4.33,4.81,1.92,2.88,0.0,Clinton_08_16_Primary_Speeches
2016_03_09_PC_Univision_Debate_Open.txt,7.22,1.03,0.0,5.15,0.0,12.89,2.58,0.0,0.0,2.58,4.12,0.52,1.55,0.0,2.06,0.52,2.58,0.0,1.55,0.0,4.64,2.06,2.58,3.09,5.67,1.03,2.58,0.0,Clinton_08_16_Primary_Speeches
2016_03_10_PC_K-12_NC.txt,5.48,0.14,1.03,4.21,0.71,10.33,0.57,0.96,0.0,1.49,3.75,3.01,0.99,0.35,5.45,0.35,2.23,1.06,4.81,0.78,2.79,1.84,2.41,1.13,6.93,1.77,1.98,0.42,Clinton_08_16_Primary_Speeches
2016_03_21_PC_AIPAC.txt,4.04,0.43,1.08,5.04,1.11,12.87,0.46,1.76,0.0,1.65,1.52,3.41,1.35,0.16,4.25,0.3,2.52,0.46,3.93,1.38,1.57,0.89,3.3,1.84,7.88,1.63,3.06,0.92,Clinton_08_16_Primary_Speeches
2016_03_23_PC_Count_Terror_Stanford.txt,4.3,0.51,0.81,5.45,0.71,11.25,0.66,2.47,0.0,2.04,1.15,3.51,0.81,0.25,3.79,0.41,2.55,0.66,4.43,1.02,1.81,0.81,3.46,1.78,8.58,1.58,2.19,0.46,Clinton_08_16_Primary_Speeches
2016_03_28_PC_Sup_CT_WI.txt,4.71,0.65,0.95,3.38,0.95,10.44,0.68,0.99,0.0,2.03,1.51,2.66,0.99,0.43,4.4,0.36,2.96,0.95,4.94,1.24,4.96,1.24,1.89,2.01,7.22,1.67,2.23,0.41,Clinton_08_16_Primary_Speeches
2016_04_01_PC_Apollo_Theater.txt,4.99,1.34,1.1,4.66,1.19,11.16,0.74,1.16,0.0,2.14,2.7,2.73,1.01,0.21,3.71,0.56,2.76,0.95,5.91,1.34,1.51,1.04,2.82,1.28,7.18,1.36,1.84,0.42,Clinton_08_16_Primary_Speeches
