,X,Time,Comp.1
38,2007_10_24_PC_Women_History_Rights.txt,08vsObama,-0.656454403
114,2015_06_13_PC_Launch.txt,16vsSanders,-0.651195827
153,2016_01_11_PC_Taxes_IA.txt,16vsSanders,-0.630314892
47,2007_11_28_PC_Health_Clinton Plan_Excerpts.txt,08vsObama,-0.573233619
68,2008_02_09_PC_Stump_Jeff_Jack_VA.txt,08vsObama,-0.533166823
257,2016_10_11_GE_Gore_FL.txt,16vsTrump,-0.525412161
119,2015_06_26_PC_Jeff_Jack_Dinner.txt,16vsSanders,-0.524354349
208,2016_06_10_PC_Planned_Parenthood.txt,16vsSanders,-0.519278577
95,2008_05_21_PC_Domestic_Elections.txt,08vsObama,-0.488102618
35,2007_10_09_PC_Domestic_Taxes_SS.txt,08vsObama,-0.472198103
26,2007_08_07_PC_Domestic_Housing.txt,08vsObama,-0.468945448
36,2007_10_11_PC_Domestic_College.txt,08vsObama,-0.466807191
143,2015_11_29_PC_Jeff_Jack_Dinner.txt,16vsSanders,-0.451659514
118,2015_06_25_PC_Conf_Flag_Racism.txt,16vsSanders,-0.439793995
215,2016_07_12_GE_Sanders_NH.txt,16vsTrump,-0.4365684
256,2016_10_02_GE_Crim_Justice_NC.txt,16vsTrump,-0.4187133
76,2008_03_01_PC_Foreign_Iraq_Afghan.txt,08vsObama,-0.383781714
169,2016_02_27_PC_S_Carolina.txt,16vsSanders,-0.341268747
58,2008_01_14_PC_Domestic_Civil Rights.txt,08vsObama,-0.328921974
210,2016_06_14_PC_Trump_Orlando.txt,16vsSanders,-0.327444061
102,2015_02_24_PC_Women_Silicon_Valley.txt,16vsSanders,-0.291802121
18,2007_05_21_PC_Domestic_Pre-K.txt,08vsObama,-0.266240509
213,2016_07_05_GE_Obama_Charlotte.txt,16vsTrump,-0.255202795
164,2016_02_11_PC_Closing_PBS_Debate_Milwau.txt,16vsSanders,-0.246443273
25,2007_07_27_PC_Domestic_Race.txt,08vsObama,-0.204770155
28,2007_08_15_PC_Health_Long-Term Care.txt,08vsObama,-0.201621542
203,2016_05_21_PC_Circle_Mothers.txt,16vsSanders,-0.195791113
232,2016_08_05_GE_NABJ_NAHJ.txt,16vsTrump,-0.194740344
84,2008_04_05_PC_Stump_MT.txt,08vsObama,-0.189838002
82,2008_04_01_PC_Domestic_Labor.txt,08vsObama,-0.178871776
140,2015_11_14_PC_Open_State_Iowa_Debate.txt,16vsSanders,-0.147555658
197,2016_04_26_PC_Unity_Phila.txt,16vsSanders,-0.105870744
198,2016_05_01_PC_NAACP_Detroit.txt,16vsSanders,-0.100418132
75,2008_02_27_PC_Domestic_Economy.txt,08vsObama,-0.072814593
174,2016_03_06_PC_CNN_Debate_Open.txt,16vsSanders,-0.056280267
199,2016_05_03_PC_Jobs_OH.txt,16vsSanders,-0.05448516
155,2016_01_17_PC_Open_State_Dem_Debate_SC.txt,16vsSanders,-0.052494258
220,2016_07_26_GE_Kaine_Miami_FL.txt,16vsTrump,-0.048364587
59,2008_01_19_PC_Stump_Nevada.txt,08vsObama,-0.02575106
196,2016_04_26_PC_Manufacture_IN.txt,16vsSanders,-0.020834575
204,2016_05_23_PC_SEIU.txt,16vsSanders,-0.019220808
37,2007_10_16_PC_Women_Family.txt,08vsObama,-0.016245005
165,2016_02_11_PC_Opening_PBS_Debate_Milwaukee.txt,16vsSanders,0.033316879
244,2016_09_08_GE_Press_Conf_FP_NY.txt,16vsTrump,0.075680863
142,2015_11_22_PC_TownHall_Clinton_IA.txt,16vsSanders,0.083974218
131,2015_09_19_PC_NH_DNC.txt,16vsSanders,0.085638042
135,2015_10_16_PC_Keene_NH_Townhall.txt,16vsSanders,0.110398902
92,2008_05_11_PC_Women_Mothers_Day.txt,08vsObama,0.184417937
214,2016_07_08_GE_AME_Violence.txt,16vsTrump,0.188418268
55,2008_01_04_PC_Stump_Milford_NH.txt,08vsObama,0.21191272
252,2016_09_19_GE_Impact_Women_Phil_PA.txt,16vsTrump,0.212388216
127,2015_09_01_PC_DNC.txt,16vsSanders,0.215321845
39,2007_11_01_PC_Women_Wellesley.txt,08vsObama,0.226643143
247,2016_09_15_GE_Latino_Caucus_Birther_DC.txt,16vsTrump,0.230802902
130,2015_09_16_PC_Women_Hillary.txt,16vsSanders,0.255493953
193,2016_04_19_PC_New_York.txt,16vsSanders,0.299688911
148,2015_12_14_PC_Immigration.txt,16vsSanders,0.314931056
57,2008_01_11_PC_Domestic_Economic.txt,08vsObama,0.341842999
251,2016_09_17_GE_Cong_Black_Caucus_DC.txt,16vsTrump,0.35405624
202,2016_05_10_PC_Family_Health_KY.txt,16vsSanders,0.366400226
99,2008_06_07_PC_Stump_Concession.txt,08vsObama,0.368742783
146,2015_12_04_PC_Econ_Women_NH.txt,16vsSanders,0.37364906
267,2016_10_31_GE_Kent_OH.txt,16vsTrump,0.383142296
72,2008_02_20_PC_Stump_Hunter_College.txt,08vsObama,0.391703564
240,2016_08_31_GE_Am_Legion_OH.txt,16vsTrump,0.392109155
137,2015_10_31_PC_Longshoremen_SC.txt,16vsSanders,0.416665118
93,2008_05_13_PC_Stump_WV.txt,08vsObama,0.42290085
124,2015_08_11_PC_College_Costs_NH.txt,16vsSanders,0.443420449
70,2008_02_16_PC_Stump_WI.txt,08vsObama,0.445136098
187,2016_04_12_PC_Pay_Equity.txt,16vsSanders,0.445297714
100,2008_08_26_PC_Stump_DNC_Con.txt,08vsObama,0.463263214
63,2008_01_28_PC_Stump_CT.txt,08vsObama,0.48001536
253,2016_09_21_GE_Disability_Orlando.txt,16vsTrump,0.490525802
236,2016_08_15_GE_Biden_Scranton_PA.txt,16vsTrump,0.518025369
249,2016_09_16_GE_Black_Women_Sym_DC.txt,16vsTrump,0.530064603
246,2016_09_09_GE_Deplorables_NY.txt,16vsTrump,0.559751984
207,2016_06_07_PC_Prim_Victory.txt,16vsSanders,0.568772822
221,2016_07_26_GE_LULAC_DC.txt,16vsTrump,0.569265285
177,2016_03_10_PC_K-12_NC.txt,16vsSanders,0.576266964
212,2016_07_01_GE_Victory_Brooklyn.txt,16vsTrump,0.589024838
71,2008_02_19_PC_Stump_OH.txt,08vsObama,0.589612277
160,2016_02_04_PC_Closing_MSNBC_Debate_NH.txt,16vsSanders,0.610905673
106,2015_04_23_PC_World_Sum_Women.txt,16vsSanders,0.612457955
125,2015_08_18_PC_Race_Saving_Cities.txt,16vsSanders,0.648144914
121,2015_07_16_PC_Economy_lst_Townhall.txt,16vsSanders,0.659783755
152,2016_01_07_PC_Asian_Pac_Islander.txt,16vsSanders,0.715224805
183,2016_04_08_PC_Teachers_NY.txt,16vsSanders,0.720452514
116,2015_06_18_PC_Veterans.txt,16vsSanders,0.735630463
111,2015_05_20_PC_Childcare_Chicago.txt,16vsSanders,0.764304958
231,2016_08_04_GE_Jobs_NV.txt,16vsTrump,0.784014314
67,2008_02_05_PC_Stump_Super_TU.txt,08vsObama,0.809738949
42,2007_11_10_PC_Domestic_Stock Speech.txt,08vsObama,0.830655069
43,2007_11_10_PC_Stump_Jeff_Jack.txt,08vsObama,0.830655069
94,2008_05_20_PC_Stump_KY_OR.txt,08vsObama,0.854115291
245,2016_09_08_GE_Voter_Drive_Charlotte_NC.txt,16vsTrump,0.884597116
126,2015_08_28_PC_DNC.txt,16vsSanders,0.891443342
162,2016_02_07_PC_Water_Flint.txt,16vsSanders,0.92334609
132,2015_09_26_PC_Human_Rights_Campaign.txt,16vsSanders,0.923355869
192,2016_04_18_PC_GOTV_NY.txt,16vsSanders,0.961142872
51,2007_12_16_PC_Stump_Council_Bluffs.txt,08vsObama,0.962490735
222,2016_07_28_GE_DNC.txt,16vsTrump,0.981174262
112,2015_05_27_PC_Dem_Women_Council_SC.txt,16vsSanders,0.988833217
8,2007_02_02_PC_Stump_DNC.txt,08vsObama,0.998795053
157,2016_02_01_PC_Cedar_Rapids_Caucus.txt,16vsSanders,1.022316605
88,2008_04_22_PC_Stump_PA.txt,08vsObama,1.04024925
89,2008_04_29_PC_Domestic_NC_.txt,08vsObama,1.084462558
225,2016_07_30_GE_100_Jobs_Johnstown_PA.txt,16vsTrump,1.130636618
156,2016_01_26_PC_Marshalltown_IA.txt,16vsSanders,1.155831266
134,2015_10_13_PC_Open_State_CNN_Debate.txt,16vsSanders,1.165314697
52,2007_12_17_PC_Health_Reform.txt,08vsObama,1.17498209
54,2008_01_03_PC_Stump_Iowa_Caucus.txt,08vsObama,1.188164703
167,2016_02_20_PC_Nevada_Victory.txt,16vsSanders,1.195381482
104,2015_04_14_PC_Kirkwood_Comm_Coll.txt,16vsSanders,1.20249999
53,2007_12_17_PC_Stump_IA.txt,08vsObama,1.239547315
272,2016_11_03_GE_Winterville_NC.txt,16vsTrump,1.243983107
