,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,Type 
75,2016_07_22_GE_RNC_Volunteers_DT.txt,4.84,0.94,1.02,3.16,1.14,6.83,0.49,0.65,0.17,2.41,4.1,3.53,0.82,0.23,7.16,0.75,2.04,1.97,6.53,1.72,1.05,1.67,1.59,0.62,5.61,0.92,1.24,0.18,Trump,Trump
76,2016_07_25_GE_Roanoke_VA_DT.txt,4.81,0.61,1.02,4.82,1.37,6.33,0.48,1.49,0.1,1.76,3.57,3.79,1.14,0.31,8.62,0.63,1.97,1.15,5.75,1.26,0.77,1.88,1.55,1.14,6.89,1.21,0.71,0.38,Trump,Trump
77,2016_07_27_GE_Press_Conf_DT.txt,5.63,0.52,1.05,3.8,1.57,7.72,0.52,1.83,0,1.18,1.31,3.93,1.83,0.26,5.63,0.26,2.88,1.18,6.41,1.05,0.92,2.49,1.96,1.18,6.81,1.44,0.52,0.52,Trump,Trump
78,2016_07_27_GE_Scranton_TH_DT.txt,5.42,0.88,0.84,3.69,1.68,5.92,0.62,1.19,0.07,1.94,3.68,3.59,1.6,0.25,7.9,0.54,1.96,1.1,5.19,1.3,0.53,1.59,1.73,0.88,7.25,0.99,0.87,0.37,Trump,Trump
79,2016_08_01_GE_Stump_OH__TH_DT.txt,4.95,0,0.5,4.95,0.99,6.19,0.5,2.23,0,2.72,1.98,3.96,0.25,0.74,6.44,0.25,2.23,1.24,6.68,0.5,0.99,0.74,3.71,2.23,5.69,2.48,0.25,0.25,Trump,Trump
80,2016_08_02_GE_Purple_Heart_DT.txt,5.39,0.23,1.07,3.91,1.42,6.53,0.51,1.39,0.06,2.79,3.25,4.25,1.37,0.2,6.85,0.53,2.34,1.1,5,1.43,0.7,1.57,1.86,0.95,7.93,1.47,0.78,0.42,Trump,Trump
81,2016_08_04_GE_Refugees_ME_DT.txt,4.32,0.4,0.97,3.96,1.24,7.47,0.41,1.49,0.1,2.47,2.7,3.95,1.68,0.44,8.6,0.47,1.99,1.01,4.82,1.23,1.03,1.43,2.02,0.93,6.61,1.1,1.11,0.61,Trump,Trump
82,2016_08_05_GE_Ryan_Endorse_WI_DT.txt,4.43,0.52,0.82,3.78,1.56,7.62,0.48,1.6,0,1.96,3.12,3.54,1.65,0.25,6.38,0.51,1.99,0.82,5.49,1.32,0.85,1.42,1.78,1.04,7.84,1.24,0.96,0.48,Trump,Trump
83,2016_08_08_GE_Economic_Detroit_DT.txt,7.58,0.43,0.55,5.22,0.93,10.93,0.5,1.03,0.02,4.19,1.08,2.06,2.2,0.14,5.1,0.29,2.87,0.84,4.69,0.81,3.21,0.29,2.7,0.89,8.44,1.72,1.53,1,Trump,Trump
84,2016_08_09_GE_2nd_Amend_DT.txt,4.84,0.29,1.17,3.62,1.26,7.35,0.39,1.58,0.11,2.98,3.49,3.58,1.03,0.46,7.32,0.46,2.08,1.02,4.57,1.29,1.18,1.71,1.77,1.18,7.25,1.32,0.85,0.44,Trump,Trump
