,X,name,PC1,PC2,PC3
64,2016_11_09_GE_Concession_NY.txt,Clinton,-1.132663143,5.277943101,3.980130646
65,2015_09_15_GE_Stump_Laconia_NH_DT.txt,Trump,0.915698058,-0.397673565,-0.286543193
66,2016_06_07_GE_Victory_DT.txt,Trump,0.388515481,0.200413612,2.372242327
67,2016_06_10_GE_Faith_Free_DC_DT.txt,Trump,-1.202960828,1.000643066,2.548864142
68,2016_06_13_GE_Orlando_DT.txt,Trump,-3.589523072,-1.120902766,0.123216241
69,2016_06_22_GE_Anti_Hillary_NY_DT.txt,Trump,1.245404125,-1.145480267,0.31935365
70,2016_06_28_GE_Jobs_PA_DT.txt,Trump,4.84471967,-0.872554764,-1.360124047
71,2016_07_05_GE_Raleigh_NC_DT.txt,Trump,-2.440550053,-2.291536346,0.747069158
72,2016_07_11_GE_Veterans_VA_DT.txt,Trump,4.082482352,-0.2884288,2.351222307
73,2016_07_12_GE_Westfield_IN_DT.txt,Trump,-2.397869895,-1.369465116,0.598260633
74,2016_07_21_GE_RNC_OH_DT.txt,Trump,3.315695189,-0.676839814,0.91433519
75,2016_07_22_GE_RNC_Volunteers_DT.txt,Trump,-4.60857929,-1.41431314,0.992848095
76,2016_07_25_GE_Roanoke_VA_DT.txt,Trump,-3.901749124,-2.22798528,-0.123676588
77,2016_07_27_GE_Press_Conf_DT.txt,Trump,-1.478892679,-1.965474997,-1.677735679
78,2016_07_27_GE_Scranton_TH_DT.txt,Trump,-3.391887311,-2.473619186,0.292416808
79,2016_08_01_GE_Stump_OH__TH_DT.txt,Trump,-0.345707534,-1.251013391,-1.644471242
80,2016_08_02_GE_Purple_Heart_DT.txt,Trump,-2.591650666,-1.856877524,-0.782309485
81,2016_08_04_GE_Refugees_ME_DT.txt,Trump,-2.203582913,-1.916934394,0.64367932
82,2016_08_05_GE_Ryan_Endorse_WI_DT.txt,Trump,-1.839730044,-1.818020496,-0.337555325
83,2016_08_08_GE_Economic_Detroit_DT.txt,Trump,5.800094928,-0.649799336,-2.35072032
84,2016_08_09_GE_2nd_Amend_DT.txt,Trump,-2.585233382,-1.673689344,-0.87374767
85,2016_08_10_GE_Stump_VA_DT.txt,Trump,-2.972965371,-2.166127568,-0.32558484
86,2016_08_11_GE_Evangel_Lead_FL_DT.txt,Trump,-5.264874199,-0.281031635,-0.47431604
87,2016_08_11_GE_Homebuilders_FL_DT.txt,Trump,-1.999624482,-0.94244786,-0.880141741
88,2016_08_12_GE_Altoona_PA_DT.txt,Trump,-3.164666358,-1.039199611,-0.351774132
89,2016_08_12_GE_Erie_PA_DT.txt,Trump,-2.68720345,-1.079927321,-0.580711266
90,2016_08_15_GE_Foreign_Policy_OH_DT.txt,Trump,3.047385607,-2.548610536,0.449894028
91,2016_08_16_GE_Inner_Cities_DT.txt,Trump,4.922149317,-0.177694447,0.473303143
92,2016_08_18_GE_Charlotte_NC_DT.txt,Trump,2.902239752,-0.582770909,1.009936033
93,2016_08_19_GE_Af_Ams_MI_DT.txt,Trump,5.135487669,-1.060547222,-0.339681584
94,2016_08_20_GE_Party_Lincoln_VA_DT.txt,Trump,6.149271284,-0.441225141,-0.631095347
