"","X","Academic_Language..Low.Frequency.","Citation","Contingency","Descriptive","Directive","Elaborative_Syntax","Emotion_Positive","Emotion_Negative","Emotion_Surprise","Expository_Devices","FirstPerson","Forceful","Future","Inquiry","Interactive","Metadiscourse","Narrative","Past","Persons","Privy","Public","Reasoning","Relations_Positive","Relations_Negative","Reporting","Strategic","Values_Positive","Values_Negative","Name"
"199","2016_05_03_PC_Jobs_OH.txt",6.39,0.34,0.74,4.9,1.01,9.65,0.51,1.4,0,1.66,2.71,3.26,1.35,0.3,4.53,0.6,2.71,0.6,4.9,1.04,1.19,1.47,2.41,0.97,7.5,1.49,2.51,0.39,"16vsSanders"
"200","2016_05_05_PC_Immigration_LA.txt",4.06,0.34,0.74,4.6,0.41,9.95,0.81,0.47,0.07,1.9,3.52,3.32,1.83,0.34,6.7,0.41,2.57,0.41,4.2,0.74,0.68,1.42,2.91,1.08,7.31,1.35,1.76,0.2,"16vsSanders"
"201","2016_05_09_PC_Work_Family_VA.txt",4.5,0.23,1.58,5.18,0.9,11.49,0.9,0.45,0,1.35,4.05,7.43,0.68,0,5.18,0.23,2.7,0.45,2.25,2.48,0.23,1.58,0.23,1.35,7.66,1.8,1.35,0.45,"16vsSanders"
"202","2016_05_10_PC_Family_Health_KY.txt",7.08,0.18,1.16,4.53,1.06,10.63,0.63,0.88,0,1.33,2.37,4.86,0.73,0.28,3.25,0.25,2.59,1.18,5.34,1.18,1.21,2.29,1.61,0.68,7.71,1.49,2.29,0.28,"16vsSanders"
"203","2016_05_21_PC_Circle_Mothers.txt",4.06,0.45,0.45,5.21,0.74,10.47,0.52,1.42,0.11,1.71,2.72,3.5,0.86,0.11,4.43,0.3,2.38,0.67,7.3,1.15,1.38,1.19,2.53,0.86,6.44,1.12,2.09,0.93,"16vsSanders"
"204","2016_05_23_PC_SEIU.txt",5.81,0.41,0.88,4.67,1.05,9.84,0.39,1.24,0.06,1.74,2.27,2.9,0.97,0.19,6.08,0.36,2.38,0.44,5.97,0.88,1.33,1.22,2.71,1.35,8.24,1.16,2.32,0.72,"16vsSanders"
"205","2016_05_26_PC_Infrastructure.txt",4.81,0.52,0.88,4.54,0.86,9.47,0.65,1.32,0,1.89,3.15,2.58,1.28,0.21,5.97,0.57,2.08,0.82,4.52,1.51,1.11,1.78,2.9,0.9,7.85,1.58,1.72,0.31,"16vsSanders"
"206","2016_06_03_PC_Natl_Sec.txt",4.47,0.26,0.89,4.19,1.04,10.6,0.55,2.04,0,1.75,1.64,3.77,0.81,0.15,4.66,0.34,2.11,0.72,4.94,1.4,1.32,1.34,4.09,1.7,8.71,1.62,2.06,0.74,"16vsSanders"
"207","2016_06_07_PC_Prim_Victory.txt",3.76,0.29,1.12,4.46,1.58,10.62,1.06,0.76,0.06,1.58,1.94,2.29,1.29,0.12,6.22,0.41,3.11,0.94,4.81,1.17,1.58,0.7,4.99,1.53,8.33,1.06,2.46,0.35,"16vsSanders"
"208","2016_06_10_PC_Planned_Parenthood.txt",6.12,0.13,0.6,4.23,1.07,9.09,0.35,0.95,0.03,1.96,1.29,3.19,0.92,0.19,4.29,0.19,2.97,0.92,6.63,1.23,1.99,1.58,2.56,1.7,7.1,1.26,2.78,0.57,"16vsSanders"
